date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:26	7054/7054	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:23%20GMT	https://www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/7?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/79902.html	(from https://www.histag-schaumburg.de/page/page_ID/147?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:27	6960/6960	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:24%20GMT	https://www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/8?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/89902.html	(from https://www.histag-schaumburg.de/page/page_ID/147?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:28	7009/7009	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:25%20GMT	https://www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/9?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/99902.html	(from https://www.histag-schaumburg.de/page/page_ID/147?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:29	6948/6948	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:26%20GMT	https://www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/10?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/109902.html	(from https://www.histag-schaumburg.de/page/page_ID/147?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:30	6846/6846	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:27%20GMT	https://www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/11?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/119902.html	(from https://www.histag-schaumburg.de/page/page_ID/147?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:31	6976/6976	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:27%20GMT	https://www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/1?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/19902.html	(from https://www.histag-schaumburg.de/page/page_ID/148?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:32	7087/7087	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:29%20GMT	https://www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/2?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/29902.html	(from https://www.histag-schaumburg.de/page/page_ID/148?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:33	6985/6985	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:30%20GMT	https://www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/3?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/39902.html	(from https://www.histag-schaumburg.de/page/page_ID/148?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:34	7000/7000	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:31%20GMT	https://www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/4?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/49902.html	(from https://www.histag-schaumburg.de/page/page_ID/148?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:35	7002/7002	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:31%20GMT	https://www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/5?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/59902.html	(from https://www.histag-schaumburg.de/page/page_ID/148?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
